rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
7742	KRCC1	lysine-rich coiled-coil 1	290866	1	1	1	0	0	0	0	0	1	0	0.589	1.000	NaN	NaN	NaN	0.589	1.000
7743	PGAM4	phosphoglycerate mutase family member 4	279523	1	1	1	0	0	0	0	0	1	0	0.589	1.000	NaN	NaN	NaN	0.589	1.000
7744	SLC41A1	solute carrier family 41, member 1	586044	1	1	1	0	0	0	1	0	0	0	0.590	0.585	NaN	NaN	NaN	0.590	1.000
7745	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	1462910	8	8	8	2	0	1	0	6	1	0	0.323	0.728	0.559	0.741	0.759	0.590	1.000
7746	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	1033546	4	4	4	0	0	0	2	1	1	0	0.311	0.268	0.620	0.641	0.788	0.590	1.000
7747	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)	484421	1	1	1	0	0	0	1	0	0	0	0.590	0.696	NaN	NaN	NaN	0.590	1.000
7748	ERAL1	Era G-protein-like 1 (E. coli)	501601	2	2	1	0	0	0	0	0	2	0	0.564	1.000	0.00967	0.955	0.435	0.590	1.000
7749	PIAS2	protein inhibitor of activated STAT, 2	734597	2	2	1	2	0	0	0	0	2	0	0.755	1.000	0.00978	0.880	0.324	0.590	1.000
7750	CDR1	cerebellar degeneration-related protein 1, 34kDa	294996	1	1	1	0	0	0	0	0	1	0	0.590	1.000	NaN	NaN	NaN	0.590	1.000
7751	STX1A	syntaxin 1A (brain)	307426	1	1	1	0	0	1	0	0	0	0	0.590	0.876	NaN	NaN	NaN	0.590	1.000
7752	ZNF654	zinc finger protein 654	650474	1	1	1	0	0	0	1	0	0	0	0.590	0.755	NaN	NaN	NaN	0.590	1.000
7753	BEST2	bestrophin 2	516885	1	1	1	1	0	0	0	0	1	0	0.590	0.971	NaN	NaN	NaN	0.590	1.000
7754	ATXN3	ataxin 3	416804	1	1	1	0	0	0	0	1	0	0	0.590	0.874	NaN	NaN	NaN	0.590	1.000
7755	WNT4	wingless-type MMTV integration site family, member 4	371140	1	1	1	0	0	1	0	0	0	0	0.590	0.844	NaN	NaN	NaN	0.590	1.000
7756	PLEKHM2	pleckstrin homology domain containing, family M (with RUN domain) member 2	1120256	4	4	4	1	0	3	1	0	0	0	0.327	0.535	0.564	0.914	0.752	0.590	1.000
7757	ACP2	acid phosphatase 2, lysosomal	495090	1	1	1	0	0	0	0	1	0	0	0.590	0.816	NaN	NaN	NaN	0.590	1.000
7758	NUDC	nuclear distribution gene C homolog (A. nidulans)	379497	1	1	1	0	0	1	0	0	0	0	0.591	0.808	NaN	NaN	NaN	0.591	1.000
7759	TRIM29	tripartite motif-containing 29	606024	2	2	2	0	2	0	0	0	0	0	0.290	0.436	0.317	0.790	0.849	0.591	1.000
7760	SLC24A4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	685041	3	3	3	0	0	0	1	1	1	0	0.246	0.475	0.580	0.745	1.000	0.591	1.000
7761	CTH	cystathionase (cystathionine gamma-lyase)	469035	2	2	2	1	0	1	0	1	0	0	0.246	0.795	0.852	0.151	1.000	0.591	1.000
7762	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	1548302	7	7	7	2	1	1	0	4	1	0	0.425	0.632	0.432	0.522	0.579	0.591	1.000
7763	MAPRE3	microtubule-associated protein, RP/EB family, member 3	320594	1	1	1	1	0	1	0	0	0	0	0.591	0.893	NaN	NaN	NaN	0.591	1.000
7764	RSBN1	round spermatid basic protein 1	848903	2	2	2	0	0	1	0	1	0	0	0.728	0.536	0.256	0.832	0.338	0.591	1.000
7765	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	1145621	2	2	2	2	0	1	0	0	1	0	0.904	0.894	0.211	0.234	0.272	0.591	1.000
7766	TBC1D17	TBC1 domain family, member 17	690703	3	3	3	1	1	1	0	0	1	0	0.339	0.768	0.774	0.366	0.725	0.591	1.000
7767	MUM1	melanoma associated antigen (mutated) 1	782809	3	3	3	1	0	2	1	0	0	0	0.303	0.652	0.513	0.946	0.812	0.591	1.000
7768	COLEC11	collectin sub-family member 11	333147	2	2	2	1	1	1	0	0	0	0	0.258	0.809	0.865	0.323	0.955	0.591	1.000
7769	CAPG	capping protein (actin filament), gelsolin-like	398534	1	1	1	0	0	0	0	0	1	0	0.591	0.802	NaN	NaN	NaN	0.591	1.000
7770	GCC2	GRIP and coiled-coil domain containing 2	1835924	4	4	4	0	0	0	1	2	1	0	0.749	0.546	0.165	0.588	0.328	0.591	1.000
7771	RNF144B	ring finger 144B	348993	1	1	1	0	0	1	0	0	0	0	0.591	0.693	NaN	NaN	NaN	0.591	1.000
7772	FBXL12	F-box and leucine-rich repeat protein 12	342694	2	2	2	0	0	0	0	0	2	0	0.286	0.794	0.458	0.217	0.860	0.591	1.000
7773	MRPS27	mitochondrial ribosomal protein S27	472992	2	2	2	0	0	0	1	1	0	0	0.347	0.547	0.117	0.677	0.710	0.591	1.000
7774	FBXL17	F-box and leucine-rich repeat protein 17	537832	1	1	1	0	0	0	0	0	1	0	0.591	0.842	NaN	NaN	NaN	0.591	1.000
7775	GPR34	G protein-coupled receptor 34	426963	1	1	1	1	0	0	0	1	0	0	0.591	0.947	NaN	NaN	NaN	0.591	1.000
7776	GAK	cyclin G associated kinase	1442820	3	3	3	1	0	2	0	0	1	0	0.812	0.733	0.265	0.314	0.303	0.591	1.000
7777	ZNF670	zinc finger protein 670	436930	1	1	1	1	0	0	0	1	0	0	0.591	0.952	NaN	NaN	NaN	0.591	1.000
7778	TRIM54	tripartite motif-containing 54	407120	2	2	1	0	0	0	0	2	0	0	0.335	0.706	0.0117	0.976	0.736	0.592	1.000
7779	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	615080	1	1	1	0	0	0	1	0	0	0	0.592	0.678	NaN	NaN	NaN	0.592	1.000
7780	TAPBPL	TAP binding protein-like	524387	2	2	2	1	0	0	0	1	1	0	0.247	0.960	0.501	0.633	1.000	0.592	1.000
7781	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	367369	2	2	2	1	0	1	0	1	0	0	0.247	0.706	0.172	0.793	1.000	0.592	1.000
7782	KIAA0368	KIAA0368	2190664	7	7	7	3	1	4	1	1	0	0	0.953	0.581	0.238	0.300	0.259	0.592	1.000
7783	C1orf74	chromosome 1 open reading frame 74	302204	1	1	1	0	0	0	0	0	1	0	0.592	1.000	NaN	NaN	NaN	0.592	1.000
7784	TUBG2	tubulin, gamma 2	518925	1	1	1	0	0	0	1	0	0	0	0.592	0.515	NaN	NaN	NaN	0.592	1.000
7785	SELENBP1	selenium binding protein 1	542044	3	3	3	1	1	0	0	0	2	0	0.247	0.929	0.859	0.994	1.000	0.592	1.000
7786	ZSCAN10	zinc finger and SCAN domain containing 10	599988	1	1	1	0	0	0	0	0	1	0	0.592	0.817	NaN	NaN	NaN	0.592	1.000
7787	GTPBP1	GTP binding protein 1	674262	2	2	2	0	0	0	0	1	1	0	0.585	0.812	0.0353	0.967	0.422	0.592	1.000
7788	CORO6	coronin 6	511968	1	1	1	0	0	0	0	0	1	0	0.592	1.000	NaN	NaN	NaN	0.592	1.000
7789	ZNF57	zinc finger protein 57	623403	1	1	1	0	0	0	1	0	0	0	0.592	0.671	NaN	NaN	NaN	0.592	1.000
7790	CBX6	chromobox homolog 6	338785	1	1	1	1	0	0	0	1	0	0	0.592	0.926	NaN	NaN	NaN	0.592	1.000
7791	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	1602149	4	4	4	0	0	2	0	1	1	0	0.762	0.370	0.240	0.485	0.324	0.592	1.000
7792	TRIM77	[Not Available]	509757	1	1	1	0	0	0	0	1	0	0	0.592	0.859	NaN	NaN	NaN	0.592	1.000
7793	HIPK4	homeodomain interacting protein kinase 4	644220	1	1	1	0	0	1	0	0	0	0	0.593	0.845	NaN	NaN	NaN	0.593	1.000
7794	PUM1	pumilio homolog 1 (Drosophila)	1353248	5	5	5	0	1	1	1	0	2	0	0.390	0.299	0.928	0.136	0.634	0.593	1.000
7795	PPP2R5C	protein phosphatase 2, regulatory subunit B', gamma isoform	743676	3	3	3	1	0	1	0	1	1	0	0.247	0.827	0.969	0.945	1.000	0.593	1.000
7796	SPIN2B	spindlin family, member 2B	290532	1	1	1	0	0	0	0	0	1	0	0.593	1.000	NaN	NaN	NaN	0.593	1.000
7797	OR9A4	olfactory receptor, family 9, subfamily A, member 4	352814	1	1	1	0	0	1	0	0	0	0	0.593	0.724	NaN	NaN	NaN	0.593	1.000
7798	PAMR1	peptidase domain containing associated with muscle regeneration 1	790729	2	2	2	1	0	0	1	1	0	0	0.520	0.866	0.823	0.399	0.476	0.593	1.000
7799	RAB37	RAB37, member RAS oncogene family	346597	1	1	1	0	0	1	0	0	0	0	0.593	0.811	NaN	NaN	NaN	0.593	1.000
7800	SEPT12	septin 12	388211	1	1	1	0	0	0	0	1	0	0	0.593	0.831	NaN	NaN	NaN	0.593	1.000
7801	PDS5A	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	1539768	7	7	7	2	1	2	0	3	1	0	0.607	0.602	0.305	0.737	0.408	0.593	1.000
7802	TUBD1	tubulin, delta 1	516065	1	1	1	0	0	0	0	1	0	0	0.593	0.858	NaN	NaN	NaN	0.593	1.000
7803	NCLN	nicalin homolog (zebrafish)	571541	1	1	1	0	0	0	0	0	1	0	0.593	0.489	NaN	NaN	NaN	0.593	1.000
7804	OR2S2	olfactory receptor, family 2, subfamily S, member 2	352553	1	1	1	0	0	1	0	0	0	0	0.593	0.798	NaN	NaN	NaN	0.593	1.000
7805	KRT73	keratin 73	609749	2	2	2	1	1	0	0	1	0	0	0.313	0.875	0.640	0.343	0.790	0.593	1.000
7806	CNTN6	contactin 6	1171716	8	8	7	3	0	0	2	2	4	0	0.507	0.710	0.403	0.570	0.489	0.593	1.000
7807	GIPC3	GIPC PDZ domain containing family, member 3	316857	1	1	1	0	0	1	0	0	0	0	0.593	0.834	NaN	NaN	NaN	0.593	1.000
7808	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	576440	1	1	1	0	0	0	1	0	0	0	0.593	0.652	NaN	NaN	NaN	0.593	1.000
7809	CCR1	chemokine (C-C motif) receptor 1	397652	1	1	1	0	0	0	0	1	0	0	0.594	0.830	NaN	NaN	NaN	0.594	1.000
7810	BICD2	bicaudal D homolog 2 (Drosophila)	885843	3	3	3	1	0	1	0	1	1	0	0.430	0.770	0.858	0.111	0.576	0.594	1.000
7811	C1orf112	chromosome 1 open reading frame 112	983825	4	4	4	1	0	1	0	2	1	0	0.248	0.759	0.825	0.455	1.000	0.594	1.000
7812	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	2612046	11	11	11	2	0	1	2	5	3	0	0.433	0.498	0.348	0.429	0.572	0.594	1.000
7813	MAK	male germ cell-associated kinase	712061	3	3	3	0	0	0	0	0	3	0	0.248	0.721	0.941	0.524	1.000	0.594	1.000
7814	KIF11	kinesin family member 11	1189272	2	2	2	0	0	1	0	1	0	0	0.728	0.534	0.200	0.304	0.341	0.594	1.000
7815	MLH3	mutL homolog 3 (E. coli)	1631135	8	8	8	4	1	1	0	3	3	0	0.717	0.929	0.246	0.598	0.346	0.594	1.000
7816	VASN	vasorin	615587	2	2	2	0	1	0	1	0	0	0	0.520	0.350	0.415	0.463	0.477	0.594	1.000
7817	TOP1MT	topoisomerase (DNA) I, mitochondrial	662904	2	2	2	1	0	1	1	0	0	0	0.372	0.842	0.341	0.984	0.667	0.594	1.000
7818	EGF	epidermal growth factor (beta-urogastrone)	1378064	6	6	6	3	0	2	1	2	1	0	0.906	0.832	0.162	0.468	0.274	0.594	1.000
7819	TUBG1	tubulin, gamma 1	518819	1	1	1	0	0	0	1	0	0	0	0.594	0.516	NaN	NaN	NaN	0.594	1.000
7820	VSX1	visual system homeobox 1	355931	1	1	1	0	0	1	0	0	0	0	0.594	0.735	NaN	NaN	NaN	0.594	1.000
7821	DDRGK1	DDRGK domain containing 1	337817	1	1	1	0	0	0	0	0	1	0	0.595	0.817	NaN	NaN	NaN	0.595	1.000
7822	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	1063622	5	5	5	1	0	0	1	3	1	0	0.249	0.677	0.924	0.963	1.000	0.595	1.000
7823	RREB1	ras responsive element binding protein 1	1776018	3	2	3	2	0	2	0	0	1	0	0.997	0.974	0.0953	0.400	0.250	0.595	1.000
7824	ELAVL2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	408917	2	2	2	0	0	2	0	0	0	0	0.249	0.460	0.378	0.880	1.000	0.595	1.000
7825	SNX29	sorting nexin 29	473110	1	1	1	0	0	0	0	0	1	0	0.595	1.000	NaN	NaN	NaN	0.595	1.000
7826	PSEN1	presenilin 1 (Alzheimer disease 3)	535820	2	2	2	1	0	1	0	1	0	0	0.281	0.821	0.645	0.517	0.886	0.595	1.000
7827	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	593785	2	2	2	0	0	1	0	0	1	0	0.249	0.618	0.468	0.535	1.000	0.595	1.000
7828	GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4	393522	1	1	1	1	0	0	0	1	0	0	0.595	0.975	NaN	NaN	NaN	0.595	1.000
7829	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	437070	1	1	1	0	0	0	0	1	0	0	0.595	0.842	NaN	NaN	NaN	0.595	1.000
7830	GOSR1	golgi SNAP receptor complex member 1	293408	1	1	1	0	0	0	0	0	1	0	0.595	1.000	NaN	NaN	NaN	0.595	1.000
7831	CHRNA6	cholinergic receptor, nicotinic, alpha 6	551828	2	2	2	1	0	1	0	1	0	0	0.450	0.845	0.334	0.497	0.554	0.595	1.000
7832	REXO1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)	1125982	5	5	5	1	0	3	0	0	2	0	0.249	0.871	0.677	0.663	1.000	0.595	1.000
7833	AGMAT	agmatine ureohydrolase (agmatinase)	354190	1	1	1	1	0	0	0	1	0	0	0.596	0.959	NaN	NaN	NaN	0.596	1.000
7834	CD5	CD5 molecule	539706	1	1	1	1	0	0	0	0	1	0	0.596	0.925	NaN	NaN	NaN	0.596	1.000
7835	TTLL11	tubulin tyrosine ligase-like family, member 11	752634	3	3	3	0	1	0	0	1	1	0	0.359	0.530	0.814	0.475	0.695	0.596	1.000
7836	ZNF485	zinc finger protein 485	492714	1	1	1	1	0	1	0	0	0	0	0.596	0.883	NaN	NaN	NaN	0.596	1.000
7837	PWP1	PWP1 homolog (S. cerevisiae)	581164	1	1	1	0	0	0	1	0	0	0	0.596	0.732	NaN	NaN	NaN	0.596	1.000
7838	MFSD8	major facilitator superfamily domain containing 8	594209	1	1	1	0	0	1	0	0	0	0	0.596	0.631	NaN	NaN	NaN	0.596	1.000
7839	TCP10	t-complex 10 homolog (mouse)	371734	1	1	1	1	0	0	0	0	1	0	0.596	1.000	NaN	NaN	NaN	0.596	1.000
7840	ZDHHC9	zinc finger, DHHC-type containing 9	410648	2	2	2	0	0	0	1	1	0	0	0.250	0.503	0.376	0.411	1.000	0.596	1.000
7841	TMCO6	transmembrane and coiled-coil domains 6	563768	1	1	1	0	0	0	0	0	1	0	0.596	1.000	NaN	NaN	NaN	0.596	1.000
7842	KLF5	Kruppel-like factor 5 (intestinal)	415913	3	2	3	0	0	1	0	0	2	0	0.250	0.455	0.794	0.727	1.000	0.596	1.000
7843	PDCD2	programmed cell death 2	318847	2	2	2	1	0	2	0	0	0	0	0.250	0.751	0.738	0.167	1.000	0.596	1.000
7844	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	649685	2	2	2	1	0	0	0	2	0	0	0.514	0.865	0.471	0.339	0.486	0.596	1.000
7845	IRX6	iroquois homeobox 6	481479	1	1	1	1	0	0	0	1	0	0	0.596	0.926	NaN	NaN	NaN	0.596	1.000
7846	FAM111B	family with sequence similarity 111, member B	809376	3	3	3	1	0	1	0	2	0	0	0.433	0.783	0.886	0.233	0.577	0.596	1.000
7847	ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial	671027	1	1	1	0	1	0	0	0	0	0	0.596	0.636	NaN	NaN	NaN	0.596	1.000
7848	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	1596914	4	4	4	3	0	0	0	3	1	0	0.967	0.948	0.766	0.0935	0.258	0.597	1.000
7849	ADAMTSL5	ADAMTS-like 5	478724	2	2	2	0	1	0	0	1	0	0	0.433	0.562	0.258	0.453	0.577	0.597	1.000
7850	DMP1	dentin matrix acidic phosphoprotein	578464	1	1	1	0	0	0	0	0	1	0	0.597	0.885	NaN	NaN	NaN	0.597	1.000
7851	MTF2	metal response element binding transcription factor 2	675463	3	3	3	0	0	1	0	0	2	0	0.250	0.535	0.550	0.999	1.000	0.597	1.000
7852	ZP3	zona pellucida glycoprotein 3 (sperm receptor)	462022	1	1	1	0	0	0	0	1	0	0	0.597	0.817	NaN	NaN	NaN	0.597	1.000
7853	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	1238325	5	5	5	2	0	1	1	2	1	0	0.755	0.851	0.318	0.228	0.331	0.597	1.000
7854	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10	1487033	3	3	3	1	1	0	2	0	0	0	0.683	0.588	0.273	0.361	0.366	0.597	1.000
7855	BZW2	basic leucine zipper and W2 domains 2	478445	2	2	2	0	0	0	0	0	2	0	0.250	0.726	0.0370	0.818	1.000	0.597	1.000
7856	CYP27C1	cytochrome P450, family 27, subfamily C, polypeptide 1	426228	2	2	2	0	0	1	0	1	0	0	0.250	0.602	0.286	0.635	1.000	0.597	1.000
7857	KPNA5	karyopherin alpha 5 (importin alpha 6)	619081	1	1	1	1	0	0	0	0	1	0	0.597	1.000	NaN	NaN	NaN	0.597	1.000
7858	OR51A2	olfactory receptor, family 51, subfamily A, member 2	313304	1	1	1	1	0	0	0	1	0	0	0.597	0.969	NaN	NaN	NaN	0.597	1.000
7859	SLC30A6	solute carrier family 30 (zinc transporter), member 6	534704	1	1	1	1	0	0	0	1	0	0	0.597	0.932	NaN	NaN	NaN	0.597	1.000
7860	CDC37	cell division cycle 37 homolog (S. cerevisiae)	427941	1	1	1	1	0	0	0	1	0	0	0.597	0.936	NaN	NaN	NaN	0.597	1.000
7861	WDR4	WD repeat domain 4	445180	2	2	2	1	0	1	0	0	1	0	0.297	0.896	0.330	0.616	0.843	0.597	1.000
7862	PDHB	pyruvate dehydrogenase (lipoamide) beta	410171	2	2	2	0	0	1	1	0	0	0	0.251	0.477	0.883	0.985	1.000	0.598	1.000
7863	KIAA0319L	KIAA0319-like	1191235	3	3	3	1	0	2	1	0	0	0	0.538	0.618	0.295	0.804	0.467	0.598	1.000
7864	IL12RB2	interleukin 12 receptor, beta 2	983273	5	5	5	2	0	2	1	2	0	0	0.365	0.692	0.963	0.313	0.688	0.598	1.000
7865	DAGLA	diacylglycerol lipase, alpha	1107630	4	4	4	2	0	1	0	3	0	0	0.758	0.917	0.234	0.801	0.331	0.598	1.000
7866	IPO4	importin 4	1208079	4	4	4	1	0	1	0	1	2	0	0.378	0.718	0.589	0.378	0.663	0.598	1.000
7867	MX2	myxovirus (influenza virus) resistance 2 (mouse)	808957	2	2	2	0	1	0	0	0	1	0	0.644	0.643	0.219	0.241	0.390	0.598	1.000
7868	ZSCAN21	zinc finger and SCAN domain containing 21	521717	1	1	1	1	0	0	0	1	0	0	0.598	0.957	NaN	NaN	NaN	0.598	1.000
7869	ZNF80	zinc finger protein 80	306713	2	2	2	0	0	1	0	0	1	0	0.251	0.713	0.887	0.791	1.000	0.598	1.000
7870	FGD6	FYVE, RhoGEF and PH domain containing 6	1619661	7	6	7	1	0	0	0	5	2	0	0.392	0.719	0.564	0.385	0.641	0.598	1.000
7871	RFT1	RFT1 homolog (S. cerevisiae)	618830	2	2	2	0	0	0	0	1	1	0	0.545	0.811	0.102	0.883	0.461	0.598	1.000
7872	IL1RAPL1	interleukin 1 receptor accessory protein-like 1	790152	2	2	2	0	0	0	1	1	0	0	0.506	0.567	0.351	0.867	0.497	0.599	1.000
7873	UBQLN3	ubiquilin 3	730750	3	3	3	1	0	0	0	2	1	0	0.397	0.903	0.690	0.298	0.633	0.599	1.000
7874	SRCIN1	SRC kinase signaling inhibitor 1	963125	2	1	2	1	0	2	0	0	0	0	0.938	0.913	0.155	0.372	0.268	0.599	1.000
7875	DMRT2	doublesex and mab-3 related transcription factor 2	502225	1	1	1	0	0	0	0	1	0	0	0.599	0.833	NaN	NaN	NaN	0.599	1.000
7876	RBMS3	RNA binding motif, single stranded interacting protein	510200	5	4	5	2	1	1	0	2	1	0	0.408	0.830	0.514	0.493	0.616	0.599	1.000
7877	LBP	lipopolysaccharide binding protein	546710	3	3	3	2	0	1	1	0	1	0	0.574	0.830	0.335	0.667	0.438	0.599	1.000
7878	ISOC1	isochorismatase domain containing 1	318672	1	1	1	0	0	1	0	0	0	0	0.599	0.685	NaN	NaN	NaN	0.599	1.000
7879	RIMKLA	ribosomal modification protein rimK-like family member A	404690	2	2	2	1	0	2	0	0	0	0	0.252	0.767	0.964	0.137	1.000	0.599	1.000
7880	GLOD4	glyoxalase domain containing 4	341252	1	1	1	0	0	1	0	0	0	0	0.599	0.661	NaN	NaN	NaN	0.599	1.000
7881	NAT6	N-acetyltransferase 6	335610	1	1	1	0	0	0	0	1	0	0	0.599	0.781	NaN	NaN	NaN	0.599	1.000
7882	C18orf8	chromosome 18 open reading frame 8	753957	3	3	3	1	0	1	1	0	1	0	0.252	0.761	0.518	0.714	1.000	0.599	1.000
7883	ASB15	ankyrin repeat and SOCS box-containing 15	668580	1	1	1	1	1	0	0	0	0	0	0.599	0.881	NaN	NaN	NaN	0.599	1.000
7884	CCNH	cyclin H	365454	1	1	1	0	0	1	0	0	0	0	0.600	0.675	NaN	NaN	NaN	0.600	1.000
7885	MFSD6	major facilitator superfamily domain containing 6	890293	3	3	3	1	0	1	0	1	1	0	0.338	0.811	0.558	0.676	0.745	0.600	1.000
7886	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	502030	1	1	1	0	0	0	0	1	0	0	0.600	0.862	NaN	NaN	NaN	0.600	1.000
7887	TAS2R13	taste receptor, type 2, member 13	336094	2	2	2	0	0	0	0	1	1	0	0.252	0.841	0.855	0.381	1.000	0.600	1.000
7888	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	693671	2	2	2	0	0	0	0	2	0	0	0.425	0.729	0.482	0.595	0.593	0.600	1.000
7889	HSF2	heat shock transcription factor 2	609204	1	1	1	1	0	1	0	0	0	0	0.600	0.870	NaN	NaN	NaN	0.600	1.000
7890	LIPC	lipase, hepatic	557012	2	2	2	0	0	0	2	0	0	0	0.311	0.342	0.736	0.731	0.812	0.600	1.000
7891	FIP1L1	FIP1 like 1 (S. cerevisiae)	696583	6	5	6	3	0	3	0	1	2	0	0.742	0.757	0.527	0.122	0.340	0.600	1.000
7892	FCHO2	FCH domain only 2	933982	3	3	3	0	0	0	0	1	1	1	0.320	0.700	0.423	0.766	0.788	0.600	1.000
7893	MUC13	mucin 13, cell surface associated	578280	2	2	2	1	0	0	1	0	1	0	0.495	0.899	0.106	0.688	0.509	0.600	1.000
7894	FBXW11	F-box and WD repeat domain containing 11	643338	1	1	1	0	1	0	0	0	0	0	0.600	0.802	NaN	NaN	NaN	0.600	1.000
7895	OR4K15	olfactory receptor, family 4, subfamily K, member 15	389092	1	1	1	1	0	0	0	1	0	0	0.600	0.939	NaN	NaN	NaN	0.600	1.000
7896	PAX3	paired box 3	624752	4	4	4	2	0	0	1	3	0	0	0.366	0.882	0.791	0.231	0.690	0.600	1.000
7897	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	1150924	4	4	4	0	0	1	0	1	2	0	0.430	0.539	0.451	0.770	0.587	0.600	1.000
7898	MKNK1	MAP kinase interacting serine/threonine kinase 1	488234	2	2	2	0	0	0	1	1	0	0	0.260	0.520	0.827	0.867	0.972	0.600	1.000
7899	NOC4L	nucleolar complex associated 4 homolog (S. cerevisiae)	519372	1	1	1	1	0	0	1	0	0	0	0.600	0.754	NaN	NaN	NaN	0.600	1.000
7900	IFT140	intraflagellar transport 140 homolog (Chlamydomonas)	1571134	2	2	2	1	0	0	0	1	1	0	0.899	0.939	0.535	0.221	0.281	0.600	1.000
7901	CYP4Z1	cytochrome P450, family 4, subfamily Z, polypeptide 1	582154	1	1	1	0	0	0	0	1	0	0	0.600	0.855	NaN	NaN	NaN	0.600	1.000
7902	BTBD3	BTB (POZ) domain containing 3	581396	1	1	1	0	0	0	0	0	1	0	0.600	0.631	NaN	NaN	NaN	0.600	1.000
7903	NCOA4	nuclear receptor coactivator 4	736520	2	2	2	1	1	1	0	0	0	0	0.428	0.808	0.260	0.452	0.590	0.600	1.000
7904	CCDC94	coiled-coil domain containing 94	350498	1	1	1	0	0	0	0	0	1	0	0.600	0.867	NaN	NaN	NaN	0.600	1.000
7905	ADH6	alcohol dehydrogenase 6 (class V)	415437	1	1	1	0	0	0	1	0	0	0	0.600	0.686	NaN	NaN	NaN	0.600	1.000
7906	RBM45	RNA binding motif protein 45	541460	1	1	1	0	0	0	0	1	0	0	0.600	0.845	NaN	NaN	NaN	0.600	1.000
7907	VASH1	vasohibin 1	373805	1	1	1	0	0	0	0	0	1	0	0.600	0.557	NaN	NaN	NaN	0.600	1.000
7908	SNTG1	syntrophin, gamma 1	600195	1	1	1	0	1	0	0	0	0	0	0.601	0.672	NaN	NaN	NaN	0.601	1.000
7909	SDR9C7	short chain dehydrogenase/reductase family 9C, member 7	354738	2	2	2	1	0	1	1	0	0	0	0.267	0.686	0.207	0.251	0.948	0.601	1.000
7910	FAM98C	family with sequence similarity 98, member C	331428	1	1	1	1	0	0	0	0	1	0	0.601	1.000	NaN	NaN	NaN	0.601	1.000
7911	CCDC39	coiled-coil domain containing 39	1057931	6	6	6	3	0	1	1	3	1	0	0.842	0.869	0.308	0.268	0.301	0.601	1.000
7912	LIPK	lipase, family member K	456708	1	1	1	0	0	0	1	0	0	0	0.601	0.709	NaN	NaN	NaN	0.601	1.000
7913	BRSK1	BR serine/threonine kinase 1	810218	3	3	3	2	0	1	0	0	2	0	0.516	0.949	0.470	0.281	0.491	0.601	1.000
7914	RXFP4	relaxin/insulin-like family peptide receptor 4	380675	1	1	1	0	0	0	0	0	1	0	0.601	1.000	NaN	NaN	NaN	0.601	1.000
7915	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	620520	1	1	1	1	0	1	0	0	0	0	0.601	0.959	NaN	NaN	NaN	0.601	1.000
7916	USP28	ubiquitin specific peptidase 28	1207069	3	3	3	1	1	0	0	1	1	0	0.608	0.872	0.329	0.488	0.416	0.601	1.000
7917	ELAVL3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	391952	2	2	2	1	0	2	0	0	0	0	0.274	0.867	0.923	0.682	0.924	0.601	1.000
7918	CCNE1	cyclin E1	467725	1	1	1	0	0	0	0	1	0	0	0.601	0.853	NaN	NaN	NaN	0.601	1.000
7919	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	410441	1	1	1	0	0	1	0	0	0	0	0.602	0.677	NaN	NaN	NaN	0.602	1.000
